"fips","county","state","population_county","population_state","hsa_nci_id","population_hsa","urban_hsa","population_county_2020_hsa","pct_urban","area_km2_state","area_km2_hsa","density_state","density_hsa","pop_ratio","log_density_hsa"
"01001","Autauga","Alabama",59285,5054253,171,390391,15190,392200,0.0387302396736359,133966.743866516,13172.437911225,37.7276692268945,29.6369588250118,0.0772400985862797,3.38902219141922
"01003","Baldwin","Alabama",239945,5054253,161,710759,26662,704823,0.0378279369430339,133966.743866516,16391.9615050981,37.7276692268945,43.3602165170377,0.140625924345299,3.76954235059304
"01005","Barbour","Alabama",24757,5054253,162,280308,15762,279021,0.0564903716924533,133966.743866516,10048.3597442098,37.7276692268945,27.8958961597213,0.0554598275947009,3.32847958695895
"01007","Bibb","Alabama",22152,5054253,150,1270895,71118,1268497,0.0560647758725484,133966.743866516,15868.9307276567,37.7276692268945,80.086996522397,0.251450610011014,4.3831135003513
"01009","Blount","Alabama",59292,5054253,150,1270895,71118,1268497,0.0560647758725484,133966.743866516,15868.9307276567,37.7276692268945,80.086996522397,0.251450610011014,4.3831135003513
"01011","Bullock","Alabama",10157,5054253,171,390391,15190,392200,0.0387302396736359,133966.743866516,13172.437911225,37.7276692268945,29.6369588250118,0.0772400985862797,3.38902219141922
"01013","Butler","Alabama",18807,5054253,259,18807,260,19051,0.013647577554984,133966.743866516,2015.97787863823,37.7276692268945,9.32897141346805,0.00372102464993343,2.23312476370873
"01015","Calhoun","Alabama",116141,5054253,177,131395,5294,131497,0.0402594736001582,133966.743866516,3040.07747862878,37.7276692268945,43.2209379279589,0.02599691784325,3.76632505209174
"01017","Chambers","Alabama",34450,5054253,172,56760,1842,56739,0.0324644424469941,133966.743866516,3076.11952215031,37.7276692268945,18.4518187902929,0.0112301461759037,2.91516294504757
"01019","Cherokee","Alabama",25224,5054253,224,299090,32697,297627,0.109858984567932,133966.743866516,6607.38320223201,37.7276692268945,45.2660290535239,0.0591759059152757,3.81255684064721
"01021","Chilton","Alabama",45500,5054253,150,1270895,71118,1268497,0.0560647758725484,133966.743866516,15868.9307276567,37.7276692268945,80.086996522397,0.251450610011014,4.3831135003513
"01023","Choctaw","Alabama",12525,5054253,412,24545,244,25010,0.00975609756097561,133966.743866516,4753.35144907903,37.7276692268945,5.16372506071598,0.00485630616433329,1.64165823003254
"01025","Clarke","Alabama",22802,5054253,161,710759,26662,704823,0.0378279369430339,133966.743866516,16391.9615050981,37.7276692268945,43.3602165170377,0.140625924345299,3.76954235059304
"01027","Clay","Alabama",14188,5054253,241,105681,2429,106772,0.0227494099576668,133966.743866516,5266.89020600296,37.7276692268945,20.0651610089668,0.0209093213181058,2.99898502805583
"01029","Cleburne","Alabama",15254,5054253,177,131395,5294,131497,0.0402594736001582,133966.743866516,3040.07747862878,37.7276692268945,43.2209379279589,0.02599691784325,3.76632505209174
"01031","Coffee","Alabama",54231,5054253,162,280308,15762,279021,0.0564903716924533,133966.743866516,10048.3597442098,37.7276692268945,27.8958961597213,0.0554598275947009,3.32847958695895
"01033","Colbert","Alabama",57648,5054253,219,208300,11884,206444,0.0575652477185096,133966.743866516,6792.26578930737,37.7276692268945,30.6672333594356,0.0412128162163627,3.42319476732222
"01035","Conecuh","Alabama",11411,5054253,163,48106,1007,48354,0.020825578028705,133966.743866516,4680.71262319632,37.7276692268945,10.2774948758016,0.00951792480510968,2.32995654120564
"01037","Coosa","Alabama",10323,5054253,241,105681,2429,106772,0.0227494099576668,133966.743866516,5266.89020600296,37.7276692268945,20.0651610089668,0.0209093213181058,2.99898502805583
"01039","Covington","Alabama",37647,5054253,171,390391,15190,392200,0.0387302396736359,133966.743866516,13172.437911225,37.7276692268945,29.6369588250118,0.0772400985862797,3.38902219141922
"01041","Crenshaw","Alabama",13144,5054253,171,390391,15190,392200,0.0387302396736359,133966.743866516,13172.437911225,37.7276692268945,29.6369588250118,0.0772400985862797,3.38902219141922
"01043","Cullman","Alabama",89463,5054253,150,1270895,71118,1268497,0.0560647758725484,133966.743866516,15868.9307276567,37.7276692268945,80.086996522397,0.251450610011014,4.3831135003513
"01045","Dale","Alabama",49516,5054253,162,280308,15762,279021,0.0564903716924533,133966.743866516,10048.3597442098,37.7276692268945,27.8958961597213,0.0554598275947009,3.32847958695895
"01047","Dallas","Alabama",37536,5054253,175,75141,865,76896,0.0112489596337911,133966.743866516,9350.20252983435,37.7276692268945,8.0362965144597,0.0148668853735656,2.08396834453723
"01049","DeKalb","Alabama",71946,5054253,224,299090,32697,297627,0.109858984567932,133966.743866516,6607.38320223201,37.7276692268945,45.2660290535239,0.0591759059152757,3.81255684064721
"01051","Elmore","Alabama",88669,5054253,179,326353,13433,323061,0.0415803826521926,133966.743866516,6873.79547676065,37.7276692268945,47.4778455517558,0.0645699770074826,3.86026319280116
"01053","Escambia","Alabama",36695,5054253,163,48106,1007,48354,0.020825578028705,133966.743866516,4680.71262319632,37.7276692268945,10.2774948758016,0.00951792480510968,2.32995654120564
"01055","Etowah","Alabama",103208,5054253,224,299090,32697,297627,0.109858984567932,133966.743866516,6607.38320223201,37.7276692268945,45.2660290535239,0.0591759059152757,3.81255684064721
"01057","Fayette","Alabama",16173,5054253,247,45363,1259,45662,0.0275721606587534,133966.743866516,3556.83045510224,37.7276692268945,12.7537706878682,0.0089752135478774,2.54582696810688
"01059","Franklin","Alabama",31978,5054253,219,208300,11884,206444,0.0575652477185096,133966.743866516,6792.26578930737,37.7276692268945,30.6672333594356,0.0412128162163627,3.42319476732222
